c000
14
38
1
6
5
136
10
44
7
3
1
14
2
1
11
406
2
2
396
5
17
2
317
7
271
1
2
24
31
42
40
4
2
6
99
8
2
209
48
12
47
17
3
1
6
13
24
1
126
45
22
1
105
199
5
112
1
18
1
27
29
27
21
2
10
48
106
13
151
3
2
1
21
1
17
1
18
3
3
3
1
3
2
3
14
36
2
19
107
3
1
1
2
9
5
7
1
1
3
2
3
1
2
1
1
7
4
6
27
11
1
5
4
215
28
56
2
14
3
14
43
56
3
19
17
2
7
1
11
1
15
2
10
7
7
1
36
1
19
2
2
4
6
38
2
4
1
1
4
2
3
11
1
3
8
35
4
11
1
1
2
4
1
8
1
25
21
3
8
16
40
83
21
16
50
26
3
4
20
2
21
2
8
4
3
114
7
37
2
20
27
36
9
4
50
59
31
8
36
45
1
39
5
65
36
17
32
63
23
11
3
9
26
23
2
10
10
23
8
93
4
5
30
2
34
1
1
1
1
39
2
2
10
1
1
3
10
4
5
5
3
2
10
24
1
20
30
1
31
14
5
12
1
22
1
2
24
1
1
1
1
23
3
3
4
1
3
4
5
2
2
7
2
11
5
4
5
2
7
14
9
1
10
5
10
1
2
1
5
3
1
2
4
26
20
1
2
7
15
4
4
3
3
5
3
2
1
1
5
4
3
6
5
1
4
6
3
6
6
6
1
1
4
1
6
2
16
1
1
8
1
39
1
1
4
1
1
2
1
1
4
3
1
3
11
11
5
12
3
5
2
3
3
7
2
3
1
1
1
29
14
23
12
10
4
13
9
1
5
21
9
1
52
1
3
24
1
7
6
7
11
1
9
12
1
4
2
8
2
7
2
2
2
4
4
35
1
4
18
1
14
8
8
1
1
42
2
10
8
3
4
13
3
39
6
2
12
10
11
1
4
1
5
2
2
3
9
2
8
2
9
1
9
9
4
7
1
11
2
1
3
5
8
1
8
23
8
3
3
1
1
1
15
24
4
5
1
5
8
5
5
6
4
41
2
1
18
3
4
2
6
2
1
3
5
17
28
9
1
6
2
4
1
3
1
1
1
1
1
3
2
2
9
20
3
5
23
8
12
5
1
20
1
13
3
1
63
4
128
9
12
17
1
11
3
2
9
5
5
5
1
7
1
3
18
4
1
4
1
1
6
2
9
5
1
1
45
24
4
25
2
1
9
6
9
10
69
1
3
31
1
2
10
5
5
3
4
9
7
3
7
3
11
15
14
2
2
1
7
5
1
7
11
4
2
13
12
9
2
1
3
8
2
1
3
1
6
23
3
35
1
48
8
13
1
5
3
1
16
4
7
41
6
3
51
3
5
42
1
1
5
1
1
14
1
2
63
17
2
36
49
12
16
25
34
23
24
1
7
22
91
17
26
19
317
3
1
12
18
1
23
2
37
6
1
31
7
1
1
28
5
14
6
4
8
8
150
73
56
11
1
11
6
1
1
22
2
2
1
4
1
2
3
18
1
1
1
5
2
1
2
4
3
4
4
6
10
2
2
8
26
5
20
18
12
4
13
8
3
3
1
1
17
9
18
9
15
8
8
7
29
8
49
7
2
10
5
9
22
1
3
30
5
4
12
17
19
1
9
51
85
4
23
2
5
3
1
16
1
2
15
2
1
1
1
4
52
4
2
1
6
53
10
26
1
3
24
4
19
2
5
4
2
2
1
34
8
5
4
3
34
35
47
29
37
2
9
2
100
175
1
15
12
10
5
12
14
102
4
2
1
10
11
3
38
18
3
5
2
8
3
2
2
1
3
10
3
11
1
2
1
5
3
1
1
1
2
14
17
6
1
1
4
1
26
2
1
6
1
4
3
3
53
11
5
2
1
28
2
8
3
1
4
1
7
1
2
3
2
3
1
13
5
6
2
8
14
13
15
19
3
1
2
7
3
3
1
13
8
15
1
4
4
13
1
4
12
8
7
4
1
1
3
4
4
1
5
5
1
8
8
49
2
3
3
2
7
5
6
3
26
2
24
9
1
1
1
41
1
12
3
6
8
17
31
1
3
5
34
11
3
1
6
5
8
3
1
1
1
3
7
2
12
2
6
1
1
41
3
8
5
2
2
1
4
2
1
15
3
1
4
10
7
3
8
8
10
15
3
2
2
2
1
6
8
2
8
7
2
1
4
19
1
2
19
3
4
4
4
5
4
10
1
17
1
5
4
1
4
2
5
3
2
3
1
2
1
4
1
5
2
1
14
5
6
8
3
18
28
16
1
1
6
18
53
5
1
66
60
1
1
5
6
20
1
8
1
7
1
3
23
3
80
19
10
19
1
72
49
28
48
25
7
33
4
2
1
3
4
3
1
1
2
9
3
3
24
1
1
5
1
5
3
4
2
4
2
6
3
2
2
10
2
6
1
1
3
3
5
1
2
3
3
1
8
22
4
3
8
42
4
23
20
1
4
3
4
4
4
23
7
115
6
24
1
2
3
11
1
4
6
5
2
1
8
11
3
1
3
4
8
3
3
1
3
4
2
1
2
1
2
2
4
10
1
3
4
11
6
7
1
1
3
2
2
5
2
4
4
5
3
6
4
4
11
3
21
27
14
2
1
3
3
16
3
6
11
2
44
6
12
33
12
14
1
21
8
17
6
14
11
1
2
4
34
15
1
4
5
2
2
1
8
5
5
1
3
1
2
2
8
20
4
7
43
20
1
1
1
6
13
2
1
6
17
7
7
4
3
6
1
3
4
11
9
19
7
1
1
3
3
4
4
5
1
5
2
4
7
2
3
11
7
4
3
49
1
3
10
9
1
2
9
2
13
2
2
4
4
12
1
4
2
2
1
14
1
37
2
1
1
1
15
1
23
109
1
39
4
8
23
3
32
9
1
3
6
5
6
2
1
12
1
1
2
13
1
2
28
18
4
21
2
42
1
3
81
2
1
5
14
2
23
12
9
4
1
17
3
1
13
21
6
1
5
2
2
3
5
1
2
1
18
9
1
9
21
1
1
3
3
1
3
3
15
2
11
5
13
19
5
2
23
1
11
2
9
13
16
30
14
4
4
2
14
1
39
8
36
7
11
3
5
15
91
322
2
3
11
29
6
1
2
5
16
8
13
13
4
27
43
4
85
9
11
5
23
1
1
1
2
7
12
6
9
1
7
19
3
21
2
5
5
21
58
2
1
7
3
22
17
15
3
4
1
10
30
3
1
4
9
73
12
2
4
14
4
69
1
1
26
2
1
47
12
1
32
2
7
253
59
3
46
1
1
3
1
3
7
8
7
4
4
4
1
17
35
96
12
9
2
8
12
2
4
2
23
1
1
5
3
8
6
8
5
3
5
11
2
1
1
3
3
4
2
5
1
2
1
7
1
6
21
9
1
12
53
1
8
2
7
10
4
2
2
2
1
4
7
2
8
1
6
6
72
3
4
1
21
8
6
10
1
5
13
10
6
1
2
2
5
111
14
3
11
4
1
38
6
5
15
5
3
7
1
6
4
1
8
7
1
6
4
6
1
6
7
15
11
2
4
1
47
11
11
3
1
57
34
10
21
10
3
5
11
18
21
3
10
33
5
3
3
18
1
12
33
2
26
24
3
4
1
18
7
2
2
5
2
1
1
4
5
4
15
75
5
43
3
5
30
2
3
1
5
5
3
2
5
13
1
2
4
1
8
4
2
1
2
18
18
27
20
7
1
13
4
3
7
13
4
5
15
1
60
1
10
1
1
4
5
2
4
456
1
11
8
3
17
11
1
2
18
5
101
22
6
1
6
15
11
1
3
19
1
4
2
18
3
1
5
3
2
35
20
6
4
20
